id,common_name,ra,dec,size,mag,type
NGC 4590,,189.87499999999997,-26.75,12.0,8.199999809265137,Gb
NGC 5662,,218.79999999999995,-56.55,12.0,5.5,OC
NGC 5927,,231.99999999999997,-50.666666666666664,12.0,8.300000190734863,Gb
NGC 6025,,240.92499999999998,-60.5,12.0,5.099999904632568,OC
NGC 6087,,244.725,-57.9,12.0,5.400000095367432,OC
NGC 6200,,251.04999999999998,-47.483333333333334,12.0,7.400000095367432,OC
IC 4651,,261.17499999999995,-49.95,12.0,6.900000095367432,OC
NGC 6469,,268.22499999999997,-22.35,12.0,8.0,OC
NGC 6830,,297.75,23.066666666666666,12.0,7.900000095367432,OC
IC 5146,Cocoon Nebula,328.34999999999997,47.266666666666666,12.0,7.199999809265137,C+N
